time,open,high,low,close,tick_volume,spread,real_volume,rsi,ema20,ema50,ema200,slope,signal
2025-04-10 04:00:00,122378.99,122542.87,121708.36,121884.22,1799,3478,0,35.42844535603747,125402.40816823851,124114.16910910998,119712.6937672226,-505.1999999999971,1
2025-05-25 17:00:00,97479.34,97612.18,96231.59,96480.1,1799,2784,0,41.91646810423482,97671.92558384046,97788.41523867566,98768.16419976138,-1011.3499999999912,1
2025-05-29 16:00:00,102759.41,103008.67,102127.2,102368.07,1800,3033,0,41.79168182953724,104018.93744773754,103842.83751643526,101470.52078643414,-396.65999999998894,0
2025-02-10 15:00:00,78707.23,78707.23,77434.6,77578.18,1800,2413,0,39.08449348452608,78875.87859630276,79885.02513285991,82973.18336549267,-1131.2600000000093,0
2025-03-09 19:00:00,96987.27,97304.99,95480.53,95480.53,1800,2877,0,50.193929807419885,95773.23193554267,94748.26979137196,92639.51420902088,-1485.520000000004,0
2025-03-22 00:00:00,92298.93,94162.28,92298.93,93840.07,1800,2631,0,55.26491263590254,92695.79073279344,93623.9315301025,93378.05722651444,1514.9500000000116,1
2025-03-03 09:00:00,91975.87,91985.85,90701.28,90715.91,1800,2877,0,34.31573960506749,93466.49389912644,93130.0573431239,89655.58882086986,-1256.0099999999948,0
2025-02-07 02:00:00,84545.91,84633.23,84015.38,84170.84,1800,2572,0,49.60305482027123,84287.73502100045,84404.07443709455,86368.34590894147,-407.2200000000012,1
2025-07-08 16:00:00,100108.37,100815.43,100085.98,100249.76,1799,3081,0,49.63295584851615,100258.43052679286,100570.81562326691,101426.42621456448,144.16999999999825,0
2025-01-06 02:00:00,102526.4,103093.56,101707.85,101717.28,1799,2666,0,41.18187219355191,103647.06718735944,102778.59134605386,100288.98438131786,-798.5099999999948,0
2025-01-08 18:00:00,101281.9,101558.57,100933.07,101081.39,1800,2682,0,46.360858841448376,101564.09388845964,101705.11235898164,100859.87278395225,-182.13999999999945,0
2025-05-26 01:00:00,100044.55,101095.02,99528.14,100776.71,1800,2784,0,65.4134135026455,98474.81314625582,98106.34543892664,98774.98842116112,739.1500000000087,0
2025-02-23 12:00:00,88077.93,88404.28,87496.56,87969.4,1800,2385,0,54.74688987034485,87650.42207463253,86344.52669257835,82503.76283766396,-92.52999999999884,1
2025-02-12 19:00:00,72439.74,72990.74,71787.8,71958.51,1800,2413,0,32.62184174839344,73962.84842273867,75503.93446671077,79938.77699376782,-500.1200000000099,1
2025-03-26 08:00:00,113937.42,114056.2,113022.74,113201.64,1799,3201,0,53.564606850827055,113008.71635665542,110633.797679688,102233.08174598374,-724.8500000000058,0
2025-07-15 12:00:00,99331.09,100303.84,98491.95,100262.69,1800,3126,0,46.25847434348738,100618.63403681348,101583.95762877593,102812.54233878438,948.8800000000048,1
2025-06-14 18:00:00,104345.97,104863.18,103541.96,103639.04,1800,3232,0,49.15443216246692,103833.80556531232,103952.62030557488,103502.49556529404,-733.7200000000012,0
2025-05-10 10:00:00,107985.77,108319.55,107102.35,107152.64,1800,3560,0,50.59137912795284,107202.42670156334,107235.67047551143,111424.20629281049,-836.9700000000012,1
2025-04-04 05:00:00,119117.74,120348.83,118865.41,120285.07,1800,3201,0,41.146492294092944,121724.2335495807,122333.32602773368,118206.84444939675,1146.0800000000015,0
2025-06-06 11:00:00,96884.97,98037.43,96884.97,98037.43,1800,3350,0,55.44937430209054,97510.56625921838,97476.0671240403,101707.61135598794,1175.929999999993,0
2025-06-09 05:00:00,106119.31,106456.42,104677.14,104918.29,1800,3350,0,51.32197707615352,105228.9484279883,102981.45363438684,101676.68324947129,-1191.320000000007,0
2025-06-08 17:00:00,105869.12,106033.04,104680.21,104903.28,1799,3350,0,61.3791809684411,103630.14960244638,101252.22005605824,101162.47286526606,-900.1600000000035,0
2025-01-18 11:00:00,96429.79,97304.99,96186.97,97006.83,1799,2614,0,54.54223159369426,96415.66558731688,96183.77152096412,97477.93575715357,542.9000000000087,1
2025-07-09 13:00:00,99265.94,100668.58,99048.8,100490.79,1800,3081,0,62.71772204061348,98020.97506937502,98959.81960716678,100740.59626216048,1222.979999999996,1
2025-02-05 22:00:00,82448.79,83073.98,82105.55,82195.13,1800,2572,0,33.24493438011122,84228.12698483329,85263.06068726137,87199.353426418,-251.0399999999936,1
2025-06-11 02:00:00,101851.4,102448.44,101218.94,102085.68,1800,3232,0,42.32790816313861,103158.92108223676,103244.48878525935,102255.81750016952,239.09999999999127,0
2025-05-22 06:00:00,99612.19,100291.98,99318.12,99426.45,1800,2784,0,41.98295395244389,100888.80908009452,99393.18893444218,100180.7418919983,-155.5,0
2025-07-02 11:00:00,100789.19,101268.91,100204.53,100623.72,1800,3004,0,53.49608462762827,100110.85989255473,99996.65204663538,100518.2410874651,-133.89999999999418,0
2025-04-19 03:00:00,127627.78,127825.12,126092.21,126641.94,1800,3923,0,34.43032129163883,129851.57687596322,129905.38954656728,127454.16892254708,-1022.9499999999972,1
2025-04-29 07:00:00,124508.79,124741.4,123336.15,123571.27,1799,3680,0,52.669257676141385,123182.60400163832,123021.97228512786,126138.93820821504,-936.9899999999908,0
2025-07-07 16:00:00,100298.28,100772.87,99981.43,100548.84,1798,3081,0,49.446600777679805,100514.7917390386,101116.32983341804,101755.64498101488,266.2399999999907,0
2025-06-21 11:00:00,108585.15,108833.01,107529.51,107551.2,1800,3098,0,41.00994958252636,108910.71936462674,108756.28894969636,106666.9559390834,-1067.6900000000023,1
2025-03-26 00:00:00,112193.66,113470.1,112097.5,112916.91,1799,3201,0,52.99400985270649,113103.62607485216,109781.90143570084,101346.79470407464,717.8099999999977,0
2025-01-17 04:00:00,95328.64,95658.47,94816.34,95595.54,1799,2614,0,51.07016954589216,95502.20075942468,95691.26809365276,97903.8462902569,247.4699999999866,0
